Rank,Model,MSE,MAE,RMSE
1,SARIMAX,0.9496859030671065,0.6585371366900148,0.9745182928334934
2,SARIMA,16.481720634455264,2.4782109768232434,4.059768544443791
3,GradientBoosting,18.219108010723332,3.848737990649812,4.268384707441837
4,XGBoost,17.878304191470832,3.8521679148954497,4.228274375140623
5,RandomForest,19.1947877647059,3.911529411764709,4.381185657411233
6,ARIMA,28.94356467967311,4.072629942225103,5.379922367439247
7,LightGBM,30.617777376816836,4.737829075036378,5.5333332971019225
8,CatBoost,30.299939264509067,4.929793421937408,5.504538060955621
9,LSTM,51.423981611226566,5.347101099350873,7.171051639140982
